Symbol,Current Price,Forecasted Price (30 days),Profit/Loss (30 days),Forecasted Price (6 months),Profit/Loss (6 months)
AON,385.56,279.07,-106.49,279.07,-106.49
MET,85.72,60.84,-24.88,60.84,-24.88
FISV,215.38,148.12,-67.26,148.12,-67.26
AEP,97.02,87.85,-9.17,87.85,-9.17
COF,187.06,118.05,-69.01,118.05,-69.01
ROP,566.86,457.2,-109.66,457.2,-109.66
CCI,104.69,146.22,41.53,146.22,41.53
KMI,27.42,17.38,-10.04,17.38,-10.04
EXPE,183.69,127.09,-56.6,127.09,-56.6
WBA,8.95,35.41,26.46,35.41,26.46
WELL,132.85,80.37,-52.48,80.37,-52.48
ALL,203.4,128.0,-75.4,128.0,-75.4
STZ,237.06,227.47,-9.59,227.47,-9.59
FCX,43.83,34.89,-8.94,34.89,-8.94
WMB,56.6,30.6,-26.0,30.6,-26.0
OXY,50.4,45.1,-5.3,45.1,-5.3
KMI,27.42,17.38,-10.04,17.38,-10.04
ED,97.53,86.53,-11.0,86.53,-11.0
TEL,151.84,127.44,-24.4,127.44,-24.4
DLR,191.07,137.08,-53.99,137.08,-53.99
MCHP,65.39,72.93,7.54,72.93,7.54
SPG,180.63,118.26,-62.37,118.26,-62.37
DOW,43.87,53.76,9.89,53.76,9.89
SYY,79.49,73.84,-5.65,73.84,-5.65
BK,80.85,48.68,-32.17,48.68,-32.17
HLT,251.02,142.94,-108.08,142.94,-108.08
ROST,153.72,112.73,-40.99,112.73,-40.99
VLO,137.47,102.81,-34.66,102.81,-34.66
APTV,55.71,104.59,48.88,104.59,48.88
GLW,49.17,35.01,-14.16,35.01,-14.16
PGR,262.61,131.48,-131.13,131.48,-131.13
AZO,3189.5,2080.32,-1109.19,2080.32,-1109.19
MCK,617.95,327.91,-290.04,327.91,-290.04
KR,59.97,44.34,-15.63,44.34,-15.63
PAYX,144.49,110.54,-33.95,110.54,-33.95
CTAS,222.65,114.44,-108.21,114.44,-108.21
HCA,327.07,234.93,-92.14,234.93,-92.14
DHI,166.93,100.8,-66.13,100.8,-66.13
DLTR,72.48,119.64,47.16,119.64,47.16
EQR,74.03,68.62,-5.41,68.62,-5.41
VTR,62.77,48.69,-14.08,48.69,-14.08
RSG,214.79,134.76,-80.03,134.76,-80.03
PEG,91.16,62.98,-28.18,62.98,-28.18
ES,61.31,77.39,16.08,77.39,16.08
CMS,68.25,61.68,-6.57,61.68,-6.57
AEE,91.8,81.75,-10.05,81.75,-10.05
ETR,151.33,106.64,-44.69,106.64,-44.69
DTE,122.98,111.77,-11.21,111.77,-11.21
XEL,71.0,65.12,-5.88,65.12,-5.88
FE,41.4,38.19,-3.21,38.19,-3.21
EVRG,63.25,59.46,-3.79,59.46,-3.79
PPL,34.25,28.01,-6.24,28.01,-6.24
NI,37.06,26.88,-10.18,26.88,-10.18
WTRG,39.67,43.15,3.48,43.15,3.48
AEP,97.02,87.85,-9.17,87.85,-9.17
LNT,61.83,54.36,-7.47,54.36,-7.47
PNW,91.28,76.92,-14.36,76.92,-14.36
